date,tick,target,entry,stop,rate,entry_strategy,stop_strategy,trail_strategy,risk,reward,rrr
2021-01-11,AER,55.62,45.78,43.32,18,1,1,1.0,5.37,21.49,4.0
2021-01-11,DKNG,62.13,52.89,49.81,14,0,1,1.0,5.82,17.47,3.0
2021-01-13,STNE,87.02,80.38,79.55,21,0,1,1.0,1.03,8.26,8.02
2021-01-13,EL,276.2,256.31,252.56,17,0,0,0.0,1.46,7.76,5.32
2021-01-13,AAPL,153.71,131.63,128.87,16,0,0,0.0,2.1,16.77,7.99
2021-01-13,SMAR,75.96,68.52,67.59,12,0,1,1.0,1.36,10.86,7.99
2021-01-14,AAPL,145.14,130.58,128.76,16,0,0,0.0,1.39,11.15,8.02
2021-01-14,XRX,25.83,23.31,22.94,16,0,1,1.0,1.59,10.81,6.8
2021-01-14,DELL,78.66,73.4,71.26,15,1,1,1.0,2.92,7.17,2.46
2021-01-14,VFC,91.75,86.12,85.03,10,0,1,1.0,1.27,6.54,5.15
